time,snd_data_indication_cnt,rcv_data_indication_cnt
2016/11/24 07:20:26,95385,4034
2016/11/24 07:24:26,164146,1644
2016/11/24 07:28:26,87099,22
2016/11/24 07:32:26,364130,277414
2016/11/24 07:36:26,94567,3936
2016/11/24 07:40:26,180300,6697
2016/11/24 07:44:26,87891,410
2016/11/24 05:22:35,263134,162528
2016/11/24 05:26:35,141785,10996
2016/11/24 05:30:35,90801,1
2016/11/24 05:34:35,129124,0
2016/11/24 05:38:35,88322,0
2016/11/24 05:42:35,105281,0
2016/11/24 05:46:35,74594,0
2016/11/24 05:50:35,175173,0
2016/11/24 05:54:35,83041,0
2016/11/24 05:58:35,120926,0
2016/11/24 06:02:35,78871,0
2016/11/24 06:06:35,125927,0
2016/11/24 06:10:35,87856,3716
2016/11/24 06:14:35,174943,2051
2016/11/24 06:18:35,73207,2
2016/11/24 06:22:35,133832,0
2016/11/24 06:26:35,82722,46
2016/11/24 06:30:35,117988,6731
2016/11/24 06:34:35,82264,0
2016/11/24 04:32:08,101039,10853
2016/11/24 04:36:08,150913,5877
2016/11/24 07:48:26,171228,0
2016/11/24 07:52:26,129762,0
2016/11/24 02:40:37,66180,35
2016/11/24 02:44:37,104271,37
2016/11/24 02:48:37,61964,33
2016/11/24 02:52:37,90492,37
2016/11/24 02:56:37,61315,36
2016/11/24 09:34:39,154702,0
2016/11/24 04:40:08,91247,2213
2016/11/24 04:44:08,310227,239649
2016/11/24 04:48:08,102571,10203
2016/11/24 07:56:26,182247,15733
2016/11/24 12:08:04,113035,111728
2016/11/24 12:12:04,71769,75865
2016/11/24 12:16:04,225447,222911
2016/11/24 12:20:04,143911,152231
2016/11/24 12:24:04,337543,333772
2016/11/24 12:28:04,216674,228980
2016/11/24 12:32:04,451711,447266
2016/11/24 12:36:04,288892,304989
2016/11/24 12:45:10,67149,43574
2016/11/24 12:49:10,117311,91415
2016/11/24 12:53:10,167694,139462
2016/11/24 12:57:10,246350,163806
2016/11/24 13:01:10,330672,167721
2016/11/24 13:05:10,309834,174817
2016/11/24 13:09:10,206123,164588
2016/11/24 13:13:10,186444,164311
2016/11/24 13:17:10,248914,228592
2016/11/24 13:21:10,287461,274313
2016/11/24 13:25:10,328812,304664
2016/11/24 13:29:10,411807,400836
2016/11/24 13:33:10,393441,373732
2016/11/24 13:37:10,517682,513184
2016/11/24 13:41:10,456034,435361
2016/11/24 13:45:10,641969,638381
2016/11/24 13:49:10,539103,520089
2016/11/24 13:53:10,760052,768518
2016/11/24 13:57:10,595430,593449
2016/11/24 14:01:10,875460,930968
2016/11/24 14:05:10,648690,641698
2016/11/24 14:09:10,1012704,1066376
2016/11/24 14:13:10,610633,613492
